node,cell_class
SMBDL,Motorneuron
SMBDR,Motorneuron
SMBVL,Motorneuron
SMBVR,Motorneuron
SMDDL,Motorneuron
SMDDR,Motorneuron
SMDVL,Motorneuron
SMDVR,Motorneuron
URADL,Motorneuron
URADR,Motorneuron
URAVL,Motorneuron
URAVR,Motorneuron
URBL,Interneuron
URBR,Interneuron
URXL,Sensory
URXR,Sensory
URYDL,Sensory
URYDR,Sensory
URYVL,Sensory
URYVR,Sensory
VA1,Motorneuron
VA10,Motorneuron
VA11,Motorneuron
VA12,Motorneuron
VA2,Motorneuron
VA3,Motorneuron
VA4,Motorneuron
VA5,Motorneuron
VA6,Motorneuron
VA7,Motorneuron
VA8,Motorneuron
VA9,Motorneuron
VB1,Motorneuron
VB10,Motorneuron
VB11,Motorneuron
VB2,Motorneuron
VB3,Motorneuron
VB4,Motorneuron
VB5,Motorneuron
VB6,Motorneuron
VB7,Motorneuron
VB8,Motorneuron
VB9,Motorneuron
VC1,Motorneuron
VC2,Motorneuron
VC3,Motorneuron
VC4,Motorneuron
VC5,Motorneuron
VC6,Motorneuron
VD1,Motorneuron
VD10,Motorneuron
VD11,Motorneuron
VD12,Motorneuron
VD13,Motorneuron
VD2,Motorneuron
VD3,Motorneuron
VD4,Motorneuron
VD5,Motorneuron
VD6,Motorneuron
VD7,Motorneuron
VD8,Motorneuron
VD9,Motorneuron
